hts8,brief_description
65050070,"Hats and headgear, of man-made fibers, made up from felt or of textile material, not knitted or crocheted, wholly or in part braid"
65050080,"Hats and headgear, of man-made fibers, made up from felt or of textile material, not knitted or crocheted, not in part of braid"
65050090,"Hats and headgear, of textile materials (other than of cotton, flax, wool or man-made fibers), nesoi"
65061030,"Safety headgear of reinforced or laminated plastics, whether or not lined or trimmed"
65061060,"Safety headgear, other than of reinforced or laminated plastics, whether or not lined or trimmed"
65069100,"Headgear (other than safety headgear), nesoi, of rubber or plastics, whether or not lined or trimmed"
65069930,"Headgear, nesoi, of furskin, whether or not lined or trimmed"
65069960,"Headgear (other than safety headgear), nesoi, of materials other than rubber, plastics, or furskins, whether or not lined or trimmed"
65070000,"Headbands, linings, covers, hat foundations, hat frames, peaks (visors) and chinstraps, for headgear"
66011000,Garden or similar umbrellas
66019100,"Umbrellas, other than garden or similar umbrellas, having a telescopic shaft"
66019900,"Umbrellas, other than garden or similar umbrellas, not having a telescopic shaft"
66020000,"Walking-sticks, seat-sticks, whips, riding-crops and the like"
66032030,"Umbrella frames, including frames mounted on shafts (sticks), for hand-held umbrellas chiefly used for protection against rain"
66032090,"Umbrella frames, including frames mounted on shafts (sticks), other than for hand-held rain umbrellas, nesoi"
66039041,"Umbrella handles, knobs, tips and caps"
66039081,"Handles, knobs, other parts, trimmings or accessories for walking sticks, seat-sticks, whips, riding crops and the like"
67010030,Articles of feathers or down (other than articles & apparel filled or stuffed with feathers/down and worked quills & scapes)
67010060,"Skins and o/parts of birds w/their feathers or down, feathers, pts of feathers/down, nesoi"
67021020,"Artificial flowers/foliage/fruit; articles of art. flowers, etc.; all of plastics, asmbld by binding/gluing/or similar methods"
67021040,"Artificial flowers/foliage/fruit & pts of; articles of art. flowers, etc.; all of plastics, not asmbld by binding/gluing/or similar methods"
67029010,"Artificial flowers/foliage/fruit & pts thereof; articles of artif. flowers, etc.; all the foregoing of feathers"
67029035,"Artificial flowers/foliage/fruit & pts thereof; articles of artif. flowers, etc.; all the foregoing of man-made fibers"
67029065,"Artificial flowers/foliage/fruit & pts thereof; articles of artif. flowers, etc.; all the foregoing of materials o/than plast./feath./mmf"
67030030,"Human hair, dressed, thinned, bleached or otherwise worked, for use in making wigs or the like"
67030060,"Wool or other animal hair or other textile materials, prepared for use in making wigs or the like"
67041100,"Wigs (complete), of synthetic textile materials"
67041900,"Wigs (partial), false beards, eyebrows and the like, of synthetic textile materials"
67042000,"Wigs, false beards, eyebrows and the like, of human hair; articles of human hair, nesoi"
67049000,"Wigs, false beards, eyebrows and the like, of animal hair or textile materials (other than synthetic textiles)"
68010000,"Setts, curbstones and flagstones, of natural stone (except slate)"
68021000,"Tiles/cubes/similar arts. of natural stone, enclosable in a sq. w/a side less than 7 cm; artificially colored granules, chippings & powder"
68022110,"Monumental or building stone & arts. thereof, of travertine, simply cut/sawn, w/flat or even surface"
68022150,"Monumental or building stone & arts. thereof, of marble & alabaster, simply cut/sawn, w/flat or even surface"
68022300,"Monumental or building stone & arts. thereof, of granite, simply  cut/sawn, w/flat or even surface"
68022910,"Monumental or building stone & arts. thereof, of calcareous stone, nesoi, simply cut/sawn, w/flat or even surface"
68022990,"Monumental or building stone & arts. thereof, of stone, nesoi, simply cut/sawn, w/flat or even surface"
68029105,"Marble slabs, further worked than simply cut/sawn"
68029115,"Monumental or building stone & arts. thereof (o/than slabs), of marble, further worked than simply cut/sawn, nesoi"
68029120,"Monumental or building stone & arts. thereof, of travertine, dressed or polished but not further worked, nesoi"
68029125,"Monumental or building stone & arts. thereof, of travertine, further worked than dressed or polished, nesoi"
68029130,"Monumental or building stone & arts. thereof, of alabaster, further worked than simply cut/sawn, nesoi"
68029200,"Monumental or building stone & arts. thereof, of calcareous stone, nesoi, further worked than simply cut/sawn, nesoi"
68029300,"Monumental or building stone & arts. thereof, of granite, further worked than simply cut/sawn, nesoi"
68029900,"Monumental or building stone & arts. thereof, nesoi, further worked than simply cut/sawn, nesoi"
68030010,Roofing slate
68030050,Worked slate (other than roofing slate) and articles of slate or agglomerated slate
68041000,"Millstones and grindstones for milling, grinding or pulping"
68042100,"Millstones, grindstones, grinding wheels and the like, nesoi, of agglomerated synthetic or natural diamond"
68042210,"Millstones, grindstones, grinding wheels and the like, nesoi, of agglomerated abrasives nesoi, or ceramics, bonded with synthetic resins"
68042240,"Abrasive wheels of agglomerated abrasives nesoi, or ceramics, not bonded with synthetic resins"
68042260,"Millstones, grindstones, grinding wheels and the like, nesoi, of agglomerated abrasives nesoi, or ceramics, not bonded w/synthetic resins"
68042300,"Millstones, grindstones, grinding wheels and the like, nesoi, of natural stone"
68043000,Hand sharpening or polishing stones
68051000,Natural or artificial abrasive powder or grain on a base of woven textile fabric only
68052000,Natural or artificial abrasive powder or grain on a base of paper or paperboard only
68053010,"Articles wholly or partly coated natural or artificial abrasive powder or grain, on a base of materials nesoi, in sheets, strips, disks,etc."
68053050,"Natural or artificial abrasive powder or grain on a base of materials nesoi, in forms nesoi"
68061000,"Slag wool, rock wool and similar mineral wools, in bulk, sheets or rolls"
68062000,"Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials"
68069000,"Mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, nesoi"
68071000,"Articles of asphalt or of similar material, in rolls"
68079000,"Articles of asphalt or of similar material, not in rolls"
68080000,"Panels, boards, tiles and similar articles of vegetable fiber, straw or wood wastes, agglomerated with cement, plaster or o/mineral binders"
68091100,"Panels, boards, sheets, tiles and similar articles of plaster or comp. plaster, n/ornamented, faced or reinforced w/paper or paperboard only"
68091900,"Panels, boards, sheets, tiles and similar articles of plaster or comp. plaster, not ornamented, nesoi"
68099000,"Articles (other than panels, boards, sheets, tiles, etc.) of plaster or of compositions based on plaster, nesoi"
68101100,"Building blocks and bricks, of cement, concrete or artificial stone, whether or not reinforced"
68101912,"Floor and wall tiles, of stone agglomerated with binders other than cement"
68101914,"Floor and wall tiles, of cement, concrete, or of artificial stone (except stone agglom. w/binders other than cement)"
68101950,"Tiles, flagstones, and similar articles, nesoi, of cement, concrete or artificial stone, whether or not reinforced"
68109100,"Prefabricated structural components for building or civil engineering,  of cement, concrete or artificial stone, nesoi"
68109900,"Articles of cement (other than tiles, flagstones, bricks and similar arts.), of concrete or artificial stone, nesoi"
68114000,Articles of asbestos-cement
68118100,"Corrugated sheets, of cellulose fiber-cement or the like (not containing asbestos)"
68118200,"Sheets (other than corrugated), panels, tiles and similar articles of cellulose-fiber cement or the like (not containing asbestos)"
68118910,"Tubes, pipes and tube or pipe fittings, of cellulose fiber-cement or the like (not containing asbestos)"
68118990,"Articles of cellulose fiber-cement or the like (not containing asbestos), nesoi"
68128010,Footwear of crocidolite
68128090,"Articles or mixtures of crocidolite, nesoi"
68129110,Footwear of asbestos other than crocidolite
68129190,"Clothing, accessories, and headgear of asbestos other than crocidolite"
68129200,"Paper, millboard and felt of asbestos other than crocidolite"
68129300,"Compressed asbestos (other than crocidolite) fiber jointing, in sheets"
68129900,"Articles nesoi, of asbestos other than crocidolite or mixtures with a basis of asbestos other than crocidolite"
68132000,"Friction material & articles thereof, containing asbestos"
68138100,Brake linings and pads not containing asbestos
68138900,"Friction material & articles thereof with a basis of mineral substances (other than asbestos) or of cellulose,  nesoi"
68141000,"Agglomerated or reconstituted mica, in plates, sheets and strips, whether or not on a support"
68149000,"Worked mica and articles of mica, nesoi, whether or not on a support of paper, paperboard or other materials"
68151001,Nonelectrical articles of graphite or other carbon
68152000,"Articles of peat, nesoi"
68159100,"Articles containing magnesoite, dolomite or chromite, nesoi"
68159920,"Talc, steatite and soapstone, cut or sawn, or in blanks, crayons, cubes, disks or other forms"
68159940,"Articles of stone or of other mineral substances (including carbon fibers & articles thereof), nesoi"
69010000,"Siliceous fossil meal or earth bricks, blocks, tiles and other ceramic goods"
69021010,"Refractory bricks of magnesite, containing by weight o/50% MgO"
69021050,"Refractory bricks, blocks, tiles and similar goods containing by weight o/50% MgO, CaO, or Cr2O3"
69022010,Refractory bricks containing by weight o/50% alumina (Al2O2) or silica (SiO2) or mixtures or compounds thereof
69022050,"Refractory blocks, tiles & similar goods (o/than bricks), cont. by wt. o/50% alumina (Al2O2) or silica (SiO2) or mixtures thereof"
69029010,"Refractory bricks, nesoi"
69029050,"Refractory blocks, tiles & similar goods (other than bricks), nesoi"
69031000,"Refractory ceramic goods (o/than of siliceous fossil meals or earths), nesoi, cont. by wt. o/50% graphite or o/forms or mix. of carbon"
69032000,"Refractory ceramic goods (o/than of siliceous fossil meals or earths), nesoi, cont. by wt. o/50% alumina or mix. or comp. of Al2O3 & SiO3"
69039000,"Refractory ceramic goods (o/than of siliceous fossil meals or earths), nesoi"
69041000,Ceramic building bricks (o/than refractory bricks)
69049000,"Ceramic flooring blocks, support or filler tiles and the like (other than bricks)"
69051000,Ceramic roofing tiles
69059000,"Ceramic chimney pots, cowls, chimney liners, architectural ornaments and other construction goods"
69060000,"Ceramic pipes, conduits, guttering and pipe fittings"
69072110,"Unglazed ceramic tiles, other than those of subheading 6907.30 and 6907.40, of H2O absorp coeff by wt <=0.5%"
69072120,"Glazed ceramic tiles having <=3229 tiles per m2, surf area in sq w/ side <7cm, H2O absorp coeff by wt <=0.5%"
69072130,"Glazed ceramic tiles having surface area <38.7cm2, surf area in sq w/ side <7cm, of H2O absorp coeff by wt <=0.5%"
69072140,"Glazed ceramic tiles having surface area >=38.7cm2, , surf area in sq w/ side <7cm, of a H2O absorp coeff by wt <=0.5%"
69072190,"Glazed ceramic tiles nesoi, of a H2O absorp coeff by wt <=0.5%"
69072210,"Unglazed ceramic tiles, other than those of subheading 6907.30 and 6907.40, of H2O absorp coeff by wt exceeding 0.5% but not exceeding 10%"
69072220,"Glazed ceramic tiles having <=3229 tiles per m2, surf area in sq w/ side <7cm, H2O absorp coeff by wt exceeding 0.5% but not exceeding 10%"
69072230,"Glazed ceramic tiles having surface area <38.7cm2, surf area in sq w/ side <7cm, of H2O absorp coeff by wt exceeding 0.5% but not exceeding 10%"
69072240,"Glazed ceramic tiles having surface area >=38.7cm2, , surf area in sq w/ side <7cm, of a H2O absorp coeff by wt exceeding 0.5% but not exceeding 10%"
69072290,"Glazed ceramic tiles nesoi, of a H2O absorp coeff by wt exceeding 0.5% but not exceeding 10%"
69072310,"Unglazed ceramic tiles, other than those of subheading 6907.30 and 6907.40, of H2O absorp coeff by wt >10%"
69072320,"Glazed ceramic tiles having <=3229 tiles per m2, surf area in sq w/ side <7cm, H2O absorp coeff by wt >10%"
69072330,"Glazed ceramic tiles having surface area <38.7cm2, surf area in sq w/ side <7cm, of H2O absorp coeff by wt >10%"
69072340,"Glazed ceramic tiles having surface area >=38.7cm2, , surf area in sq w/ side <7cm, of a H2O absorp coeff by wt >10%"
69072390,"Glazed ceramic tiles nesoi, of a H2O absorp coeff by wt >10%"
69073010,"Unglazed ceramic mosaic cubes, o/t subheading 6907.40"
69073020,"Glazed ceramic mosaic cubes having <=3229 tiles per m2, surf area in sq w/ side <7cm"
69073030,"Glazed ceramic mosaic cubes having surface area <38.7cm2, surf area in sq w/ side <7cm"
69073040,"Glazed ceramic mosaic cubes having surface area >=38.7cm2, surf area in sq w/ side <7cm"
69073090,"Glazed ceramic mosaic cubes nesoi, o/t subheading 6907.40"
69074010,Unglazed finishing ceramics
69074020,"Glazed finishing ceramics having <=3229 tiles per m2, surf area in sq w/ side <7cm"
69074030,"Glazed finishing ceramics having surface area <38.7cm2, surf area in sq w/ side <7cm"
69074040,"Glazed finishing ceramics having surface area >=38.7cm2, , surf area in sq w/ side <7cm"
69074090,Glazed finishing ceramics nesoi
69091120,Porcelain or china ceramic machinery parts
69091140,"Porcelain or china ceramic wares for laboratory, chemical or other technical uses (other than machinery parts), nesoi"
69091200,"Ceramic wares (o/than of porcelain or china) for laboratory, chemical or technical uses, w/hardness equivalent to 9 or more on Mohs scale"
69091910,Ceramic ferrite core memories
69091950,"Ceramic wares for laboratory, chemical or other technical uses (o/than of porcelain or china), nesoi"
69099000,"Ceramic troughs, tubes & siml. receptacles for agriculture; ceramic pots, jars, & siml. arts. for conveyance or packing of goods"
69101000,"Porcelain or china ceramic sinks, washbasins, baths, bidets, water closet bowls, urinals & siml. sanitary fixtures"
69109000,"Ceramic (o/than porcelain or china) sinks, washbasins, baths, bidets, water closet bowls, urinals & siml. sanitary fixtures"
69111010,"Porcelain or china hotel, restaurant & nonhousehold table and kitchenware"
69111015,Bone china household table & kitchenware valued n/o $31.50/doz. pcs.
69111025,Bone china household table & kitchenware valued o/$31.50/doz. pcs.
69111035,Porcelain or china (o/than bone china) househld tabl. & kitch.ware in sets in which aggregate val. of arts./US note 6(b) n/o $56
69111037,Porcelain or china (o/than bone china) househld tabl. & kitch.ware in sets in which aggregate val. of arts./US note 6(b) o/$56 n/o $200
69111038,Porcelain or china (o/than bone china) househld tabl. & kitch.ware in sets in which aggregate val. of arts./US note 6(b) o/$200
69111041,"Porcelain or china (o/than bone china) hsehld steins w/pewter lids, decanters, punch bowls, spoons & rests, salt/pepper sets, etc."
69111045,Porcelain or china (o/than bone china) household mugs and steins w/o attached pewter lids
69111052,"Porcelain or china (o/than bone china) hsehld tabl/kit.ware n/in specif.sets,cups o/$8 but n/o $29/dz, saucers o/$5.25 but n/o $18.75/dz,etc"
69111058,"Porcelain or china (o/than bone china) hsehld tabl/kit ware n/in specif. sets, cups o/$29/dz, saucers o/$18.75/dz, bowls o/$33/dz, etc."
69111060,Porcelain or china (o/than bone china) household serviette rings
69111080,"Porcelain or china (o/than bone china) household tableware & kitchenware, not in specified sets, nesoi"
69119000,"Porcelain or china (o/than bone china) household and toilet articles (other than tableware or kitchenware), nesoi"
69120010,Course-grained earthen/stoneware tabl & kitchware; fine-grain earthenware tabl & kitch.ware w/reddish body & lustrous colored/mottled glaze
69120020,"Ceramic (o/than porcelain or china) hotel, restaurant or nonhousehold tableware and kitchenware"
69120035,"Ceramic (o/than porcelain or china) household table and kitchenware, in sets in which aggregate val. of arts./US note 6(b) n/o $38"
69120039,"Ceramic (o/than porcelain or china) household table and kitchenware, in sets in which aggregate val. of arts./US note 6(b) o/$38"
69120041,"Ceramic (o/than porcelain or china) hsehld steins w/pewter lids, decanters, punch bowls, spoons & rests, salt/pepper sets, etc."
69120044,Ceramic (o/than porcelain or china) household mugs and steins w/o attached pewter lids
69120045,"Ceramic (o/than porcelain or china) household tabl/kitch.ware,n/in specif. sets, cups o/$5.25/dz, saucers o/$3/dz, etc."
69120046,Ceramic (o/than porcelain or china) household serviette rings
69120048,"Ceramic (o/than porcelain or china) household tableware and kitchenware, nesoi"
69120050,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
69131010,"Porcelain or china statues, statuettes & handmade flowers, valued o/$2.50 each, of original work by professional sculptors"
69131020,"Bone china statuettes and other ornamental articles, nesoi"
69131050,"Porcelain or china (o/than bone china) statuettes and other ornamental articles, nesoi"
69139010,"Ceramic (o/than porcelain or china) statues, statuettes, handmade flowers, val. o/$2.50 each, of original work by professional sculptors"
69139020,Ornamental articles of ceramic tile
69139030,"Earthenware ornamental articles, having a reddish-colored body and a lustrous glaze of differing colors"
69139050,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
69141040,"Porcelain or china ceramic ferrules, n/o 3mm diam or 25mm long, w/fiber channel open. and/or ceramic mating sleeves of Al2O3 or zirconia"
69141080,"Porcelain or china arts. (o/than tableware/kitchenware/household & ornament. arts),nesoi"
69149041,"Ceramic (o/porcelain or china) ferrules, n/o 3mm or 25mm long, w/fiber channel open. and/or ceramic mating of sleeves of Al2O3 or zirconia"
69149080,"Ceramic (o/than porcelain or china) arts. (o/than tableware/kitchenware/household & ornament. arts), nesoi"
70010010,Glass in the mass of fused quartz or other fused silica
70010020,Glass in the mass (other than of fused quartz or other fused silica)
70010050,Cullet and other waste and scrap of glass
70021010,"Glass in balls (o/than microspheres of heading 7018), unworked, n/o 6mm in diameter"
70021020,"Glass in balls (o/than microspheres of heading 7018), unworked, over 6 mm in diameter"
70022010,"Glass rods of fused quartz or other fused silica, unworked"
70022050,"Glass rods (o/than of fused quartz or other fused silica), unworked"
70023100,"Glass tubes of fused quartz or other fused silica, unworked"
70023200,"Glass tubes (o/than fused quartz/silica), w/linear coefficient of expansion n/o 5x10-6 per Kelvin in range of 0-300 degrees C, unworked"
70023900,"Glass tubes (o/than fused quartz/silica), nesoi, unworked"
70031200,"Cast or rolled glass, in nonwired sheets, colored thru the mass, opacified, flashed or w/absorbent,reflect. or non-reflect.layer, not wkd."
70031900,"Cast or rolled glass, in nonwired sheets, n/colored thru the mass, opacified, flashed, etc. & not further worked"
70032000,"Cast or rolled glass, in wired sheets"
70033000,Cast or rolled glass profiles
70042010,"Drawn or blown glass, in sheets, w/absorbent, reflecting or non-reflecting layer, n/furth. wkd."
70042020,"Drawn or blown glass, in rect. sheets, colored thru the mass, etc., w/o absorbent, reflecting or non-reflect. layer, n/furth wkd"
70042050,"Drawn or blown glass, in sheets (o/than rect.), colored thru the mass, opacified, flashed, w/o absorbent, etc. layer, n/furth. wkd."
70049005,"Drawn or blown glass, nesoi, in rectangular sheets, w/thick. n/o 1.5 mm & n/o 0.26 m2 in area, n/further wkd."
70049010,"Drawn or blown glass, nesoi, in rectangular sheets, w/thick. n/o 1.5 mm & over 0.26 m2 in area, n/further wkd."
70049015,"Drawn or blown glass, nesoi, in rectangular sheets, w/thick. over 1.5 but n/o 2 mm & n/o 0.26 m2 in area, n/further wkd."
70049020,"Drawn or blown glass, nesoi, in rectangular sheets, w/thick. over 1.5 but n/o 2 mm & over 0.26 m2 in area, n/further wkd."
70049025,"Drawn or blown glass, nesoi, in rectangular sheets, w/thick. over 2 but n/o 3.5 mm, not further wkd."
70049030,"Drawn or blown glass, nesoi, in rectangular sheets, w/thick. over 3.5 mm & n/o 0.65 m2 in area, not further wkd."
70049040,"Drawn or blown glass, nesoi, in rectangular sheets, w/thick. over 3.5 mm & over 0.65 m2 in area, not further wkd."
70049050,"Drawn or blown glass, nesoi, in sheets (other than rectangular), nesoi"
70051040,"Surface ground or polished glass, w/absorb. or reflect. layer, n/o 1.2 mm thick & n/o 0.8 M2 in area, suitable for use in LCD's"
70051080,"Float glass & surface ground or polished glass, nonwired, in sheets, w/absorb. or reflect. layer, nesoi, not worked"
70052110,"Float glass & surface ground or polished glass, nonwired, in sheets, colored thru mass, opacified, flashed, under 10 mm thick, not worked"
70052120,"Float glass & surface ground or polished glass, nonwired, in sheets, colored thru mass, opacified, flashed, 10 mm or more thick, not worked"
70052904,"Float glass & surface ground or polished glass, in sheets, less than 10 mm thick, w/area n/o 0.65 M2 & for liquid crystal displays"
70052908,"Float glass & surface ground or polished glass, nonwired, in sheets, less than 10 mm thick, w/area n/o 0.65 M2 & not for LCD's"
70052914,"Float glass & surface ground or polished glass, in sheets, less than 10 mm thick, w/area o/0.65 M2 & for liquid crystal displays"
70052918,"Float glass & surface ground or polished glass, nonwired, in sheets, less than 10 mm thick, w/area over 0.65 M2 & not for LCD's"
70052925,"Float glass & surface ground or polished glass, nonwired, in sheets, 10 mm or more in thickness"
70053000,"Float glass & surface ground or polished glass, wired, in sheets"
70060010,"Glass of heading 7003-7005 in strips n/o 15.2 cm wide & o/2 mm thick, w/longitudinal edges ground or smoothed"
70060020,"Drawn or blown glass, not containing wire netting & not surface ground or polished, but bent, edged or otherwise worked but not framed"
70060040,"Glass of heading 7003-7005, bent, edgeworked, engraved, drilled, enameled or otherwise worked, but not framed or fitted, nesoi"
70071100,"Toughened (tempered) safety glass, of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"
70071900,"Toughened (tempered) safety glass, not of size or shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"
70072110,"Laminated safety glass, windshields, of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"
70072150,"Laminated safety glass (o/than windshields), of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"
70072900,"Laminated safety glass, not of size or shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels"
70080000,Glass multiple-walled insulating units
70091000,Glass rearview mirrors for vehicles
70099110,"Glass mirrors (o/than rearview mirrors), unframed, n/o 929 cm2 in reflecting area"
70099150,"Glass mirrors (o/than rearview mirrors), unframed, over 929 cm2 in reflecting area"
70099210,"Glass mirrors (o/than rearview mirrors), framed, n/o 929 cm2 in reflecting area"
70099250,"Glass mirrors (o/than rearview mirrors), framed, over 929 cm2 in reflecting area"
70101000,Glass ampoules used for the conveyance or packing of goods
70102020,"Glass stoppers, lids and other closures produced by automatic machine"
70102030,"Glass stoppers, lids and other closures not produced by automatic machine"
70109005,"Glass serum bottles, vials and other pharmaceutical containers"
70109020,"Glass containers for conveyance/packing perfume/toilet preps & containers with/designed for ground glass stopper, made by automatic machine"
70109030,"Glass containers for convey/pack perfume/toilet preps & containers with/designed for ground glass stopper, not made by automatic machine"
70109050,"Glass carboys, bottles, jars, pots, flasks, & other containers for conveyance/packing of goods (w/wo closures) & preserving jars, nesoi"
70111010,Glass bulbs (w/o fittings) for electric incandescent lamps
70111050,"Glass envelopes, open, & glass parts thereof, for electric lighting (other than bulbs for incandescent lamps), without fittings"
70112010,Glass cones (w/o fittings) for cathode-ray tubes
70112045,"Monochrome glass envelopes (open & w/o fittings), certified by importer for actual use in computer  or graphic display CRTs"
70112085,"Glass envelopes (open & w/o fittings) & glass parts thereof, nesoi, for cathode-ray tubes"
70119000,Glass envelopes (open & w/o fittings) & glass parts thereof (o/than for electric lighting or cathode-ray tubes
70131010,"Transparent glass-ceramic kitchenware 75% by vol. crystallilne, of lithium aluminosilicate, w/low lin. coefficient of expansion"
70131050,"Glass-ceramic ware of a kind used for household, office, indoor decoration or similar purposes, nesoi"
70132210,"Stemware drinking glasses of lead crystal, valued n/over $1 each"
70132220,"Stemware drinking glasses of lead crystal, valued o/$1 but n/over $3 each"
70132230,"Stemware drinking glasses of lead crystal, valued o/$3 but n/over $5 each"
70132250,"Stemware drinking glasses of lead crystal, valued over $5 each"
70132805,"Stemware of pressed and toughened (specially tempered) glass, o/than lead crystal"
70132810,"Stemware, o/than of pressed and toughened glass, o/than lead crystal, valued n/over $0.30 each"
70132820,"Stemware, o/than of pressed and toughened glass, o/than lead crystal, valued o/$0.30 but n/over $3 each"
70132830,"Stemware, o/than of pressed and toughened glass, o/than lead crystal, cut or engraved, valued o/$3 but n/over $5 each"
70132840,"Stemware, o/than of pressed and toughened glass, o/than lead crystal, cut or engraved, valued over $5 each"
70132850,"Stemware, o/than of pressed and toughened glass, o/than lead crystal, not cut or engraved, valued o/$3 but n/over $5 each"
70132860,"Stemware, o/than of pressed and toughened glass, o/than lead crystal, not cut or engraved, valued over $5 each"
70133310,"Drinking glasses, nesoi, of lead crystal, valued n/over $1 each"
70133320,"Drinking glasses, nesoi, of lead crystal, valued o/$1 but n/over $3 each"
70133330,"Drinking glasses, nesoi, of lead crystal, valued o/$3 but n/over $5 each"
70133350,"Drinking glasses, nesoi, of lead crystal, valued over $5 each"
70133705,"Drinking glasses, nesoi, of pressed and toughened (specially tempered) glass, o/than lead crystal"
70133710,"Drinking glasses, nesoi, o/than of pressed and toughened glass, o/than lead crystal, valued n/over $0.30 each"
70133720,"Drinking glasses, nesoi, o/than of pressed and toughened glass, o/than lead crystal, valued o/$0.30 but n/over $3 each"
70133730,"Drinking glasses, nesoi, o/than of pressed and toughened glass, o/than lead crystal, cut or engraved, valued o/$3 but n/over $5 each"
70133740,"Drinking glasses, nesoi, o/than of pressed and toughened glass, o/than lead crystal, cut or engraved, valued over $5 each"
70133750,"Drinking glasses, nesoi, o/than of pressed and toughened glass, o/than lead crystal, not cut or engraved, valued o/$3 but n/over $5 each"
70133760,"Drinking glasses, nesoi, o/than of pressed and toughened glass, o/than lead crystal, not cut or engraved, valued over $5 each"
70134110,"Glassware for table or kitchen purposes (o/than drinking glasses), of lead crystal, valued n/over $1 each"
70134120,"Glassware for table or kitchen purposes (o/than drinking glasses), of lead crystal, valued over $1 but n/over $3 each"
70134130,"Glassware for table or kitchen purposes (o/than drinking glasses), of lead crystal, valued over $3 but n/over $5 each"
70134150,"Glassware for table or kitchen purposes (o/than drinking glasses), of lead crystal, valued over $5 each"
70134210,"Glassware for table or kitchen purposes (o/than drinking glasses), of pressed and toughened low coefficient of heat expansion glass"
70134220,"Glassware for table or kitchen purposes (o/than drinking glasses), of low coefficient of heat expansion glass, n/o $3 each"
70134230,"Glassware for table or kitchen purposes (o/than drinking glasses), of low coefficient of heat expansion glass, over $3 but n/o $5 each"
70134240,"Glassware for table or kitchen purposes (o/than drinking glasses), of low coefficient of heat expansion, over $5 each"
70134910,"Glassware for table or kitchen purposes (o/than drinking glasses), of pressed and toughened glass, nesoi"
70134920,"Glassware for table or kitchen purposes (o/than drinking glasses), nesoi, valued n/over $3 each"
70134930,"Glassware for table or kitchen purposes (o/than drinking glasses), nesoi, cut or engraved, valued over $3 but n/over $5 each"
70134940,"Glassware for table or kitchen purposes (o/than drinking glasses), nesoi, cut or engraved, valued over $5 each"
70134950,"Glassware for table or kitchen purposes (o/than drinking glasses), nesoi, n/cut or engraved, valued over $3 but n/o $5 each"
70134960,"Glassware for table or kitchen purposes (o/than drinking glasses), nesoi, n/cut or engraved, valued over $5 each"
70139110,"Glassware for toilet/office/indoor decor. & similar purposes, of lead crystal, valued n/over $1 each"
70139120,"Glassware for toilet/office/indoor decor. & similar purposes, of lead crystal, valued over $1 but n/over $3 each"
70139130,"Glassware for toilet/office/indoor decor. & similar purposes, of lead crystal, valued over $3 but n/over $5 each"
70139150,"Glassware for toilet/office/indoor decor. & similar purposes, of lead crystal, valued over $5 each"
70139910,"Glassware, nesoi, decorated/colored within the body prior to solidification; millefiori glassware; glassware colored & w/bubbles etc"
70139920,"Glassware for toilet/office/indoor decor. & similar purposes, of pressed and toughened (specially tempered) glass"
70139930,"Smokers' articles of glass, nesoi; perfume bottles of glass fitted with ground glass stoppersk, nesoi"
70139935,"Votive-candle holders of glass, nesoi"
70139940,"Glassware for toilet/office/indoor decor. or similar purposes, nesoi, valued n/over $0.30 each"
70139950,"Glassware for toilet/office/indoor decor. or similar purposes, nesoi, valued over $0.30 but n/over $3 each"
70139960,"Glassware for toilet/office/indoor decor. or similar purposes, nesoi, cut or engraved, valued over $3 but n/over $5 each"
70139970,"Glassware for toilet/office/indoor decor. or similar purposes, nesoi, cut or engraved, valued over $5 each"
70139980,"Glassware for toilet/office/indoor decor. or similar purposes, nesoi, n/cut or engraved, valued over $3 but n/over $5 each"
70139990,"Glassware for toilet/office/indoor decor. or similar purposes, nesoi, n/cut or engraved, valued over $5 each"
70140010,"Glass lens blanks (other than for spectacles), not optically worked"
70140020,"Glass optical elements (other than lens blanks), not optically worked"
70140030,"Glass lenses and filters (other than optical elements) and parts thereof, for signaling purposes, not optically worked"
70140050,"Signaling glassware, nesoi, not optically worked"
70151000,"Glasses, curved, bent, hollowed, or the like (but not optically worked), for corrective spectacles"
70159010,"Watch glasses, round"
70159020,"Watch glasses, not round"
70159050,"Clock glasses; glasses curved, bent, hollowed, etc. for noncorrective spectacles; hollow spheres & segments for glasses; all n/opt. wkd."
70161000,"Glass cubes and other glass smallwares, whether or not on a backing, for mosaics or similar decorative purposes"
70169010,"Paving blocks, slabs, bricks, squares, tiles & other arts. of pressed or molded glass, for building or construction purposes"
70169050,"Leaded glass windows & the like; multicellular or foam glass in blocks, panels, plates, shells or similar forms"
70171030,Fused quartz reactor tubes and holders designed for insertion into diffusion and oxidation furnaces for semiconductor wafer production
70171060,"Laboratory, hygienic or pharmaceutical glassware, whether or not calibrated or graduated, of fused quartz or other fused silica, nesoi"
